Precision,Recall
0.1437956204379562,0.9899497487437185
0.14390065741417093,0.9899497487437185
0.1440058479532164,0.9899497487437185
0.1441111923920995,0.9899497487437185
0.14421669106881405,0.9899497487437185
0.1443223443223443,0.9899497487437185
0.14442815249266863,0.9899497487437185
0.144534115920763,0.9899497487437185
0.144640234948605,0.9899497487437185
0.14474650991917706,0.9899497487437185
0.1448529411764706,0.9899497487437185
0.14495952906548934,0.9899497487437185
0.14506627393225333,0.9899497487437185
0.1451731761238025,0.9899497487437185
0.14528023598820058,0.9899497487437185
0.14538745387453875,0.9899497487437185
0.14549483013293943,0.9899497487437185
0.14560236511456023,0.9899497487437185
0.14571005917159763,0.9899497487437185
0.14581791265729088,0.9899497487437185
0.14592592592592593,0.9899497487437185
0.14603409933283915,0.9899497487437185
0.14614243323442136,0.9899497487437185
0.14625092798812175,0.9899497487437185
0.14635958395245172,0.9899497487437185
0.14646840148698884,0.9899497487437185
0.14657738095238096,0.9899497487437185
0.14668652271034996,0.9899497487437185
0.146795827123696,0.9899497487437185
0.14690529455630127,0.9899497487437185
0.14701492537313432,0.9899497487437185
0.14712471994025392,0.9899497487437185
0.14723467862481315,0.9899497487437185
0.14734480179506357,0.9899497487437185
0.1474550898203593,0.9899497487437185
0.14756554307116104,0.9899497487437185
0.14767616191904048,0.9899497487437185
0.14778694673668416,0.9899497487437185
0.1478978978978979,0.9899497487437185
0.14800901577761083,0.9899497487437185
0.1481203007518797,0.9899497487437185
0.14823175319789314,0.9899497487437185
0.14834337349397592,0.9899497487437185
0.14845516201959308,0.9899497487437185
0.14856711915535445,0.9899497487437185
0.14867924528301887,0.9899497487437185
0.14803625377643503,0.9849246231155779
0.14814814814814814,0.9849246231155779
0.14826021180030258,0.9849246231155779
0.14837244511733536,0.9849246231155779
0.1484848484848485,0.9849246231155779
0.14783927217589082,0.9798994974874372
0.1479514415781487,0.9798994974874372
0.1480637813211845,0.9798994974874372
0.14817629179331307,0.9798994974874372
0.1482889733840304,0.9798994974874372
0.14840182648401826,0.9798994974874372
0.1485148514851485,0.9798994974874372
0.1486280487804878,0.9798994974874372
0.14874141876430205,0.9798994974874372
0.14885496183206107,0.9798994974874372
0.1489686783804431,0.9798994974874372
0.14908256880733944,0.9798994974874372
0.14919663351185922,0.9798994974874372
0.14931087289433384,0.9798994974874372
0.14942528735632185,0.9798994974874372
0.1495398773006135,0.9798994974874372
0.1496546431312356,0.9798994974874372
0.1497695852534562,0.9798994974874372
0.1498847040737894,0.9798994974874372
0.15,0.9798994974874372
0.14934565050038492,0.9748743718592965
0.14946070878274267,0.9748743718592965
